Time,Curr Win %,Last Attendance vs Opp,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-04-19 00:00:00,0.6756756756756757,14078.0,Cleveland Cavaliers,Miami Heat,0.0,3.0,Monday,April,13111.0
1999-04-20 00:00:00,0.35135135135135137,22647.0,Chicago Bulls,Washington Wizards,0.0,2.0,Tuesday,April,22102.0
1999-04-20 00:00:00,0.8,12616.0,Utah Jazz,San Antonio Spurs,0.0,4.0,Tuesday,April,19911.0
1999-04-21 00:00:00,0.5405405405405406,18019.0,Boston Celtics,Philadelphia 76ers,0.0,4.0,Wednesday,April,18287.0
1999-04-21 00:00:00,0.34210526315789475,18455.0,Washington Wizards,Toronto Raptors,0.0,2.0,Wednesday,April,12214.0
1999-04-21 00:00:00,0.7575757575757576,20602.0,Portland Trail Blazers,Los Angeles Lakers,0.0,3.0,Wednesday,April,20713.0
1999-04-21 00:00:00,0.7777777777777778,17135.0,Phoenix Suns,Utah Jazz,0.0,3.0,Wednesday,April,19023.0
1999-04-23 00:00:00,0.21052631578947367,23854.0,Chicago Bulls,Boston Celtics,0.0,2.0,Friday,April,22969.0
1999-04-23 00:00:00,0.7837837837837838,12616.0,Utah Jazz,Portland Trail Blazers,0.0,3.0,Friday,April,19911.0
1999-04-23 00:00:00,0.3333333333333333,20173.0,Washington Wizards,Atlanta Hawks,0.0,1.0,Friday,April,16941.0
1999-04-25 00:00:00,0.7428571428571429,14556.0,Portland Trail Blazers,Minnesota Timberwolves,0.0,3.0,Sunday,April,20437.0
1999-04-25 00:00:00,0.4615384615384616,15510.0,Phoenix Suns,Houston Rockets,0.0,3.0,Sunday,April,19023.0
1999-04-25 00:00:00,0.325,18624.0,Boston Celtics,Washington Wizards,0.0,0.0,Sunday,April,17211.0
1999-04-25 00:00:00,0.5641025641025641,11510.0,Philadelphia 76ers,Orlando Magic,0.0,5.0,Sunday,April,20522.0
1999-04-26 00:00:00,0.7631578947368421,12616.0,Utah Jazz,Phoenix Suns,0.0,2.0,Monday,April,19911.0
1999-04-26 00:00:00,0.75,19018.0,Portland Trail Blazers,Denver Nuggets,0.0,4.0,Monday,April,19476.0
1999-04-26 00:00:00,0.6829268292682927,14051.0,Cleveland Cavaliers,Miami Heat,0.0,4.0,Monday,April,13857.0
1999-04-27 00:00:00,0.5476190476190477,18624.0,Boston Celtics,Detroit Pistons,0.0,2.0,Tuesday,April,16408.0
1999-04-27 00:00:00,0.575,18120.0,Philadelphia 76ers,Cleveland Cavaliers,0.0,5.0,Tuesday,April,17822.0
1999-04-28 00:00:00,0.4634146341463415,14073.0,Minnesota Timberwolves,Phoenix Suns,0.0,3.0,Wednesday,April,16771.0
1999-04-29 00:00:00,0.32558139534883723,11513.0,Washington Wizards,Cleveland Cavaliers,0.0,1.0,Thursday,April,12751.0
1999-04-29 00:00:00,0.7692307692307693,12616.0,Utah Jazz,Golden State Warriors,0.0,2.0,Thursday,April,19911.0
1999-04-30 00:00:00,0.4736842105263158,11977.0,Cleveland Cavaliers,Toronto Raptors,0.0,1.0,Friday,April,13958.0
1999-04-30 00:00:00,0.475,19356.0,Minnesota Timberwolves,Golden State Warriors,0.0,2.0,Friday,April,18157.0
1999-05-01 00:00:00,0.4615384615384616,14801.0,Philadelphia 76ers,Toronto Raptors,0.0,0.0,Saturday,May,20550.0
1999-05-01 00:00:00,0.5476190476190477,18624.0,Boston Celtics,Milwaukee Bucks,0.0,4.0,Saturday,May,18089.0
1999-05-01 00:00:00,0.4878048780487805,12399.0,Minnesota Timberwolves,Los Angeles Clippers,0.0,3.0,Saturday,May,17203.0
1999-05-02 00:00:00,0.4222222222222222,8973.0,Cleveland Cavaliers,Atlanta Hawks,0.0,1.0,Sunday,May,12690.0
1999-05-03 00:00:00,0.5777777777777777,24196.0,Chicago Bulls,Detroit Pistons,0.0,5.0,Monday,May,22306.0
1999-05-04 00:00:00,0.7209302325581395,16402.0,Portland Trail Blazers,San Antonio Spurs,0.0,4.0,Tuesday,May,20715.0
1999-05-04 00:00:00,0.7619047619047619,19911.0,Utah Jazz,Los Angeles Clippers,0.0,3.0,Tuesday,May,19911.0
1999-05-05 00:00:00,0.5555555555555556,18674.0,Philadelphia 76ers,Detroit Pistons,0.0,2.0,Wednesday,May,20192.0
1999-05-05 00:00:00,0.4772727272727273,16701.0,Phoenix Suns,Minnesota Timberwolves,0.0,3.0,Wednesday,May,18773.0
1999-05-05 00:00:00,0.6304347826086957,24209.0,Chicago Bulls,Orlando Magic,0.0,3.0,Wednesday,May,22567.0
1999-05-05 00:00:00,0.5111111111111111,18624.0,Boston Celtics,Charlotte Hornets,0.0,3.0,Wednesday,May,16635.0
1999-05-08 00:00:00,0.7674418604651163,19911.0,Utah Jazz,Sacramento Kings,1.0,4.0,Saturday,May,19911.0
1999-05-08 00:00:00,0.6904761904761905,17074.0,Portland Trail Blazers,Phoenix Suns,1.0,2.0,Saturday,May,20040.0
1999-05-10 00:00:00,0.6976744186046512,13042.0,Portland Trail Blazers,Phoenix Suns,1.0,3.0,Monday,May,20588.0
1999-05-10 00:00:00,0.75,19911.0,Utah Jazz,Sacramento Kings,1.0,3.0,Monday,May,19911.0
1999-05-12 00:00:00,0.7045454545454546,17071.0,Phoenix Suns,Portland Trail Blazers,1.0,3.0,Wednesday,May,17306.0
1999-05-13 00:00:00,0.7234042553191491,13171.0,Minnesota Timberwolves,San Antonio Spurs,1.0,4.0,Thursday,May,17444.0
1999-05-13 00:00:00,0.5625,19449.0,Philadelphia 76ers,Orlando Magic,1.0,3.0,Thursday,May,20874.0
1999-05-15 00:00:00,0.7291666666666666,13191.0,Minnesota Timberwolves,San Antonio Spurs,1.0,4.0,Saturday,May,15898.0
1999-05-15 00:00:00,0.5714285714285714,20801.0,Philadelphia 76ers,Orlando Magic,1.0,4.0,Saturday,May,20550.0
1999-05-16 00:00:00,0.7446808510638298,19911.0,Utah Jazz,Sacramento Kings,1.0,3.0,Sunday,May,19911.0
1999-05-18 00:00:00,0.75,19911.0,Utah Jazz,Portland Trail Blazers,1.0,3.0,Tuesday,May,19911.0
1999-05-20 00:00:00,0.7346938775510204,19911.0,Utah Jazz,Portland Trail Blazers,1.0,3.0,Thursday,May,19911.0
