Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
2004-01-17 21:00:00,2,4,0.5428571428571428,0.5569620253164557,19751.0,12616.0,19911.0,Utah Jazz,Cleveland Cavaliers,0,3.0,Saturday,January,19622.0
2004-01-17 22:00:00,5,2,0.42424242424242425,0.5802469135802469,14202.0,19011.0,20630.0,Portland Trail Blazers,Dallas Mavericks,0,1.0,Saturday,January,19018.0
2004-01-17 22:30:00,1,5,0.7142857142857143,0.7209302325581395,18562.0,18997.0,18997.0,Los Angeles Lakers,Los Angeles Clippers,0,4.0,Saturday,January,18997.0
2004-01-18 12:30:00,4,9,0.631578947368421,0.5569620253164557,15445.0,18624.0,18624.0,Boston Celtics,San Antonio Spurs,0,2.0,Sunday,January,18624.0
2004-01-18 20:00:00,2,13,0.4117647058823529,0.725,14921.0,18422.0,18422.0,Phoenix Suns,Portland Trail Blazers,0,0.0,Sunday,January,15131.0
2004-01-18 21:00:00,2,4,0.35897435897435903,0.527027027027027,19216.0,17757.0,19812.0,Denver Nuggets,Miami Heat,0,1.0,Sunday,January,17635.0
2004-01-19 13:00:00,5,4,0.4705882352941176,0.4722222222222222,17249.0,19812.0,19763.0,New York Knicks,Toronto Raptors,0,1.0,Monday,January,19308.0
2004-01-19 13:00:00,17,3,0.3235294117647059,0.4657534246575342,16254.0,13422.0,20173.0,Washington Wizards,Chicago Bulls,0,2.0,Monday,January,15407.0
2004-01-19 14:00:00,4,5,0.7222222222222222,0.4929577464788733,13928.0,14931.0,19635.0,Atlanta Hawks,Indiana Pacers,0,4.0,Monday,January,19635.0
2004-01-19 15:00:00,4,3,0.6153846153846154,0.569620253164557,20539.0,22076.0,22076.0,Detroit Pistons,San Antonio Spurs,0,1.0,Monday,January,22076.0
2004-01-19 15:00:00,2,19,0.2972972972972973,0.4810126582278481,14211.0,16071.0,17283.0,Orlando Magic,Milwaukee Bucks,0,3.0,Monday,January,14574.0
2004-01-19 15:30:00,7,1,0.7647058823529411,0.5945945945945946,14233.0,11485.0,19668.0,Los Angeles Clippers,Sacramento Kings,0,5.0,Monday,January,17325.0
2004-01-19 19:30:00,8,3,0.5588235294117647,0.6486486486486487,12239.0,16369.0,19351.0,Memphis Grizzlies,Houston Rockets,0,5.0,Monday,January,18619.0
2004-01-19 22:00:00,4,3,0.5277777777777778,0.6351351351351351,19602.0,18733.0,20310.0,Golden State Warriors,Utah Jazz,0,3.0,Monday,January,14358.0
2004-01-19 22:30:00,13,5,0.3947368421052632,0.7209302325581395,18997.0,18997.0,18997.0,Los Angeles Lakers,Phoenix Suns,0,4.0,Monday,January,18312.0
2004-01-20 19:00:00,3,4,0.7297297297297297,0.5569620253164557,18044.0,15879.0,18345.0,Indiana Pacers,Detroit Pistons,0,4.0,Tuesday,January,15848.0
2004-01-20 19:30:00,9,2,0.35,0.3380281690140845,14413.0,20021.0,20213.0,Miami Heat,Boston Celtics,0,1.0,Tuesday,January,14327.0
2004-01-20 21:00:00,4,4,0.5135135135135135,0.5569620253164557,19622.0,12616.0,19911.0,Utah Jazz,Denver Nuggets,0,2.0,Tuesday,January,19385.0
2004-01-20 22:00:00,2,7,0.7428571428571429,0.6976744186046512,17317.0,17317.0,17317.0,Sacramento Kings,Portland Trail Blazers,0,4.0,Tuesday,January,17317.0
2004-01-21 19:00:00,2,5,0.4571428571428571,0.3333333333333333,18906.0,19800.0,20116.0,Toronto Raptors,Minnesota Timberwolves,0,1.0,Wednesday,January,18846.0
2004-01-21 19:30:00,17,5,0.2702702702702703,0.4929577464788733,19635.0,9608.0,19635.0,Atlanta Hawks,Chicago Bulls,0,0.0,Wednesday,January,10568.0
2004-01-21 20:00:00,5,3,0.5714285714285714,0.6486486486486487,18619.0,14144.0,19351.0,Memphis Grizzlies,Los Angeles Lakers,0,5.0,Wednesday,January,19351.0
2004-01-21 20:00:00,19,2,0.2894736842105263,0.4861111111111111,18717.0,13683.0,18717.0,Milwaukee Bucks,Orlando Magic,0,2.0,Wednesday,January,13455.0
2004-01-21 21:00:00,13,4,0.38461538461538464,0.527027027027027,17635.0,19739.0,19812.0,Denver Nuggets,Phoenix Suns,0,4.0,Wednesday,January,15652.0
2004-01-21 21:00:00,4,8,0.4358974358974359,0.527027027027027,18145.0,16611.0,18226.0,Houston Rockets,New York Knicks,0,3.0,Wednesday,January,14976.0
2004-01-21 22:30:00,3,1,0.4705882352941176,0.5945945945945946,17325.0,10260.0,19668.0,Los Angeles Clippers,Golden State Warriors,0,2.0,Wednesday,January,13316.0
2004-01-22 19:00:00,7,2,0.75,0.3333333333333333,15277.0,19432.0,20562.0,Cleveland Cavaliers,Sacramento Kings,0,4.0,Thursday,January,17720.0
2004-01-22 21:30:00,5,5,0.6578947368421053,0.7173913043478259,20221.0,17502.0,20677.0,Dallas Mavericks,Los Angeles Lakers,0,1.0,Thursday,January,20512.0
2004-01-23 19:00:00,19,8,0.4358974358974359,0.569620253164557,20054.0,20284.0,20965.0,Philadelphia 76ers,Orlando Magic,0,1.0,Friday,January,20272.0
2004-01-23 19:30:00,3,9,0.3142857142857143,0.5569620253164557,18624.0,18624.0,18624.0,Boston Celtics,Washington Wizards,0,2.0,Friday,January,16386.0
2004-01-23 19:30:00,4,5,0.45,0.4929577464788733,10568.0,14983.0,19635.0,Atlanta Hawks,New York Knicks,0,4.0,Friday,January,16469.0
2004-01-23 20:00:00,8,4,0.7105263157894737,0.5569620253164557,15848.0,10334.0,18345.0,Indiana Pacers,Houston Rockets,0,4.0,Friday,January,18345.0
2004-01-23 20:00:00,7,3,0.7297297297297297,0.6486486486486487,19351.0,16444.0,19351.0,Memphis Grizzlies,Sacramento Kings,0,3.0,Friday,January,17119.0
2004-01-23 20:00:00,3,2,0.7222222222222222,0.625,17026.0,14117.0,20391.0,Minnesota Timberwolves,Detroit Pistons,0,4.0,Friday,January,19006.0
2004-01-23 20:30:00,5,17,0.6097560975609756,0.5833333333333334,22202.0,18676.0,23067.0,Chicago Bulls,Dallas Mavericks,0,5.0,Friday,January,18761.0
2004-01-23 20:30:00,5,2,0.4444444444444444,0.4861111111111111,13455.0,13194.0,18717.0,Milwaukee Bucks,Toronto Raptors,0,0.0,Friday,January,15813.0
2004-01-23 22:30:00,4,1,0.5,0.5945945945945946,13316.0,15800.0,19668.0,Los Angeles Clippers,Utah Jazz,0,1.0,Friday,January,15675.0
2004-01-23 22:30:00,4,13,0.625,0.725,15131.0,18301.0,18422.0,Phoenix Suns,San Antonio Spurs,0,2.0,Friday,January,17799.0
2004-01-24 15:30:00,3,2,0.4166666666666667,0.5802469135802469,19018.0,15531.0,20630.0,Portland Trail Blazers,Golden State Warriors,0,1.0,Saturday,January,14325.0
2004-01-24 19:00:00,4,3,0.3333333333333333,0.4657534246575342,15407.0,18173.0,20173.0,Washington Wizards,Indiana Pacers,0,2.0,Saturday,January,14305.0
2004-01-24 19:30:00,8,2,0.425,0.3333333333333333,17720.0,0.0,20562.0,Cleveland Cavaliers,Philadelphia 76ers,0,1.0,Saturday,January,20562.0
2004-01-24 19:30:00,2,4,0.4390243902439024,0.4722222222222222,19308.0,19812.0,19763.0,New York Knicks,Miami Heat,0,3.0,Saturday,January,19763.0
2004-01-24 21:00:00,5,4,0.4871794871794872,0.5569620253164557,19385.0,12616.0,19911.0,Utah Jazz,Los Angeles Lakers,0,0.0,Saturday,January,19911.0
2004-01-25 13:00:00,7,5,0.7105263157894737,0.7173913043478259,20512.0,17502.0,20677.0,Dallas Mavericks,Sacramento Kings,0,2.0,Sunday,January,20284.0
2004-01-25 15:30:00,13,2,0.36585365853658536,0.625,19006.0,14979.0,20391.0,Minnesota Timberwolves,Phoenix Suns,0,2.0,Sunday,January,16002.0
2004-01-25 15:30:00,5,17,0.4324324324324325,0.5833333333333334,18761.0,18676.0,23067.0,Chicago Bulls,Toronto Raptors,0,0.0,Sunday,January,22039.0
2004-01-25 16:00:00,4,3,0.5945945945945946,0.6486486486486487,17119.0,0.0,19351.0,Memphis Grizzlies,Denver Nuggets,0,5.0,Sunday,January,17284.0
2004-01-25 18:00:00,5,3,0.675,0.569620253164557,22076.0,22076.0,22076.0,Detroit Pistons,Atlanta Hawks,0,2.0,Sunday,January,22076.0
2004-01-25 18:00:00,8,19,0.3,0.4810126582278481,14574.0,16317.0,17283.0,Orlando Magic,Houston Rockets,0,3.0,Sunday,January,14135.0
2004-01-26 19:00:00,19,2,0.2926829268292683,0.3333333333333333,20562.0,16369.0,20562.0,Cleveland Cavaliers,Orlando Magic,0,2.0,Monday,January,14382.0
2004-01-26 19:00:00,2,3,0.32432432432432434,0.4657534246575342,14305.0,20356.0,20173.0,Washington Wizards,Portland Trail Blazers,0,2.0,Monday,January,14236.0
2004-01-26 19:30:00,8,2,0.3809523809523809,0.3380281690140845,14327.0,20063.0,20213.0,Miami Heat,Houston Rockets,0,3.0,Monday,January,14523.0
2004-01-26 20:00:00,4,2,0.6097560975609756,0.4861111111111111,15813.0,14154.0,18717.0,Milwaukee Bucks,San Antonio Spurs,0,2.0,Monday,January,14385.0
2004-01-26 21:00:00,2,4,0.7368421052631579,0.527027027027027,15652.0,19812.0,19812.0,Denver Nuggets,Minnesota Timberwolves,0,4.0,Monday,January,15320.0
2004-01-26 21:00:00,1,4,0.5,0.5569620253164557,19911.0,12616.0,19911.0,Utah Jazz,Los Angeles Clippers,0,1.0,Monday,January,18592.0
2004-01-27 19:30:00,13,5,0.3809523809523809,0.4929577464788733,16469.0,7216.0,19635.0,Atlanta Hawks,Phoenix Suns,0,2.0,Tuesday,January,11179.0
2004-01-27 19:30:00,4,4,0.6190476190476191,0.4722222222222222,19763.0,19812.0,19763.0,New York Knicks,San Antonio Spurs,0,3.0,Tuesday,January,19190.0
2004-01-27 22:30:00,17,1,0.4864864864864865,0.5945945945945946,15675.0,9921.0,19668.0,Los Angeles Clippers,Chicago Bulls,0,3.0,Tuesday,January,15298.0
2004-01-28 19:00:00,3,9,0.6829268292682927,0.5569620253164557,16386.0,18624.0,18624.0,Boston Celtics,Detroit Pistons,0,2.0,Wednesday,January,14042.0
